"Balian & Busse, PLLC";Balian & Busse, PLLC 40950 Woodward, Avenue Suite 350 Bloomfield Hills,, MI 48304-5129 ,,,,,
Bancorpsv - HRPro Claims,Bancorpsv,,,,,,
Banner Life Insurance Co.;Banner Life Insurance Co. P.O. Box 740526 Atlanta, GA 30374-0526 ,,,,,
Barry Riley's Welding;Riley's Welding Barry Riley 306 Holmes Road Allenton, MI  48002 ,,,,,
Barton Malow Company;Barton Malow Company 26500 American Drive Southfield, MI 48034 ,,,,,
BC Automation,BC Automation 167 Haupt Street Port Elizabeth South Africa,,,,,,
Bearing Service (ACH);Bearing Service 2219 E. 9 Mile Rd Warren, MI 48091 ,,,,,
"Behco-MRM, Inc";Behco-MRM, Inc div of H & P Technologies, Inc. 21251 Ryan Road Warren, MI  48091 ,,,,,
Bigrentz.com,Bigrentz.com,,,,,,
"Bill Janseen, CLSO";Bill Janseen, CLSO 14726 Dominica Court Apple Valley, MN 55124 ,,,,,
Blue Corp Automation (Wire)*;Blue Corp Automation Solutions Victor Castillo 27 Norte 1604 Solares Chicos Atlixco, Puebla C.P. 74230 Mexico ,,,,,
Blue Cross Blue Shield;Blue Cross Blue Shield of Michigan PO Box 674416 Detroit, MI  48267-4416 ,,,,,
BO SIX Robotics (ACH);B. O. Six Robotics, Inc. PO Box 5935 Drawer #1596 Troy, MI  48007 ,,,,,
Bouch Enterprises (SA $),Bouch Enterprises PO Box 70666 The Bridge  6032 South Africa,,,,,,
Browz (ACH);Browz LLC 13997 South Minuteman Drive Ste 350 Draper, UT 84020 ,,,,,
BYERS WRECKER;BYERS WRECKER 399 SOUTH STREET ROCHESTER, MI 48307 ,,,,,
C & C Rent All;C &C Rent All 2287 W. Auburn Rd Rochester Hills, MI 48309 ,,,,,
C&E Sales;C&E Sales P.O. Box 750128 Dayton, OH  45475-0128 ,,,,,
"CA & Associates, LLC";CA & Associates LLC 3771 Sleepy Fox Drive Rochester Hills, MI  48309 ,,,,,
Calvert Smith,Calvert Smith,,,,,,
Caniff Electric Supply;Caniff Electric Supply 2001 Caniff Street Hamtamick, MI 48212 ,,,,,
Carl Stahl Sava Industries (ACH);Carl Stahl Sava Industries, Inc. PO Box 30 4 North Corporate Drive Riverdale, NJ  07457-0030 ,,,,,
Cash,Cash,,,,,,
Centimeter Industrial Supply;Centimeter Industrial Supply, Inc. 1842 Star-Batt Drive Rochester Hills, MI  48309 ,,,,,
"Central Alarm Signal, Inc.";Central Alarm Signal, Inc. 13400 West 7 Mile Rd. Detroit, MI  48235 ,,,,,
Chalfant Manufacturing (ACH);Chalfant Manufacturing Co. 50 Pearl Rd. Ste. 212 Brunswick, OH  44212-5704 ,,,,,
Charter Township of Orion;Charter Township of Orion 2525 Joslyn Rd Lake Orion, Mi 48360-1951 ,,,,,
Chase Autopaybus 82573,,,,,,,
Chris Cox;Chris Cox 933 Pinecone Drive Howell, MI  48843 ,,,,,
Chris Cox - CC,,,,,,,
Chromalox;Chromalox Dave Ray & Associates 4949 Delemre Avenue Royal Oak, MI  48073 ,,,,,
CIGNA International (ACH);CIGNA International 13680 Collection Center Drive Chicago, Il 60693 ,,,,,
Cincinnati Fan;Cincinnati Fan & Ventilator Company, INC 7697 Snider Road Mason, OH 45040 ,,,,,
Cinetic Automation (ACH);Fives Cinetic Corp 23400 Halsted Rd Farmington Hills, MI  48335 ,,,,,
Citizens Insurance Company;Citizens Insurance Dept 77360 P.O. Box 77000 Detroit, MI 48277-0360 ,,,,,
City of Rochester Hills - Permits;City of Rochester Hills Attn: Bldg Dept 1000 Rochester Hills Dr Rochester, MI  48309 ,,,,,
City of Rochester Hills - Tax;City of Rochester Hills 16748 Collection Center Drive Chicago, IL  60693-0167 ,,,,,
City Of Rochester Hills - Water;City Of Rochester Hills - Water 16632 Collection Center Drive Chicago, IL  60693-0166 ,,,,,
Columbia Marking Tools;Columbia Marking Tools 27430 Luckino Drive Chesterfield, MI  48047 ,,,,,
Comcast (Bill Pay),Comcast PO Box 3005 Southeastern PA 19398-3005,,,,,,
COMDATA;COMDATA P.O. Box 500544 St. Louis, Mo 63150-0544 ,,,,,
Comdata Fees,Comdata Fees,,,,,,
Con-Syst-Int (ACH)*;Con-Syst-Int Controls Group Inc 5135 Hennin Dr. Oldcastle, ON  N0R 1L0 Canada ,,,,,
"Concorde Manufacturing, Inc.";Concorde Manufacturing, Inc. 275 Rex Blvd. Auburn Hills, MI 48326 ,,,,,
Conductix Wampfler;Conductix Wampfler PO Box 809090 Chicago, IL 60680 ,,,,,
Consumers Energy (Bill Pay);Consumers Energy Lansing, MI  48937-0001 ,,,,,
Corrigan Air & Sea (ACH);Corrigan Air & Sea Cargo 6170 Middlebelt Rd. Romulus, MI  48174 ,,,,,
Costco,Costco,,,,,,
Cougar Cutting Tool;Cougar Cutting Tools, Inc. 23529 Reynolds Court Clinton TWP, MI 48036 ,,,,,
Country Inn & Suites Lima;Country Inn & Suites Lima 804 S Leonard Ave Lima, OH  45804 ,,,,,
Crescent Electric Supply Co.;26499 Southpoint Rd Ste 100 Perrysburg, OH 435511696 ,,,,,
Crown Industrial Services Inc.;Crown Industrial Services Inc. P.O. Box 970197 Ypsilanti, MI  48197 ,,,,,
Culligan (Bill Pay);Culligan of Ann Arbor/Detroit Lockbox Processing PO Box 2932 Wichita, KS  67201-2932 ,,,,,
"Dalton Bearing Service, Inc.";Dalton Bearing Service, Inc. 601 South Glenwood Ave. Dalton, GA 30721 ,,,,,
Davey Tree Expert Co;The Davey Tree Expert Company PO Box 94532 Cleveland, OH  44101-4532 ,,,,,
Days Inn Kokomo;Days Inn & Suites Kokomo 264 South 00 EW Kokomo, IN  46902 ,,,,,
Days Inn Port Huron,Days Inn Port Huron,,,,,,
Dayton Freight Lines Inc.;Dayton Freight Lines Inc. P.O. Box 340 Vandalia, Ohio 45377 937-264-4060 ,,,,,
Dean Askounis (ACH) *;Dean Askounis 150 N. Cranbrook Road Bloomfield Hills, MI 48301 ,,,,,
Dell Computers;Dell Computers P.O. Box 643561 Pittsburgh, PA 15264-3561 ,,,,,
Delta,Delta,,,,,,
Detroit Regional Chamber;Detroit Regional Chamber Account Receivable P.O. Box 77359 Detroit, MI  48277-0359 ,,,,,
DF Burnham;DF Burnham Mike Faro 40750 Enterprise Dr. Sterling Heights, MI 48314 ,,,,,
DHL Express;DHL Express - USA 16592 Collections Center Drive Chicago, IL 60693 ,,,,,
DHL Global Forwarding;DHL Global Forwarding 14076 Collection Center Drive Chicago, IL  60693 ,,,,,
DiBella's Subs,Dibella's Subs,,,,,,
DiFACTO Robotics (Wire);DiFACTO Robotics & Automation Pvt. Ltd #18/1A 23rd Main, Marenahalli JP Nagar 2nd Phase Bangalore, 560 078 India ,,,,,
DigiKey;DigiKey P.O. Box 250 Thief River Falls, MN 56701-0250 ,,,,,
Discount Office Equipment;Discount Office Equipment 1991 Coolidge, Berkley, MI 48072 ,,,,,
Discount Ramps;discount Ramps 760 S. Indiana Ave. West Bend, WI 53095 ,,,,,
DLS WORLDWIDE;RR Donnelley Logistics Services Worldwide dba DLS WORLDWIDE PO BOX 932721 Cleveland, OH 44193 ,,,,,
Domonique Call;Domonique Call 638 Mallard Way Oxford, MI  48371 ,,,,,
Dongan Electric Mfg. Co.;Donagan Electric Mfg. Co. 34760 Garfield Rd. Fraser, MI  48026 ,,,,,
DOPAG US Ltd (ACH);DOPAG (US) Ltd 1445 Jamike Dr, Suite 100 Erlanger, KY  41018 ,,,,,
Douglas Jones Trading Ltd;Douglas Jones Trading (Pty) Ltd PO Box 669 Constantia, Western Cape 7848 South Africa ,,,,,
Draka Elevator / Prysmian;Draka Elevator Products, Inc. 2151 N. Church Street Roucky Mount, NC 27804 ,,,,,
DTE Energy (Bill Pay);DTE Energy PO Box 740786 Cincinnati, OH  45274-0786 ,,,,,
Du-All  Drafting & Art;Du-All Drafting & Art Supply, Inc. 31431 John R Madison Heights, MI  48071 ,,,,,
Dultmeier Sales (ACH);Dultmeier Sales, LLC PO Box 45565 Omaha, NE 68145-0565 ,,,,,
Dun and Bradstreet - CC,,,,,,,
Dwyer Instruments (ACH);Dwyer Instruments, Inc. PO Box 373 Michigan City, IN 46361-0373 USA ,,,,,
E & R Industrial Sales (ACH);E & R Industrial Sales, Inc. 16294 Collection Center Chicago, IL  60693 ,,,,,
E3 Industries;E3 Industries LLC 145 S. Livernois Rd. STE 248 Rochester, MI  48307 ,,,,,
"Eagle Office Solutions, Inc";Eagle Office Solutions, Inc 1280 E Big Beaver, STE A-2 Troy, MI  48083 ,,,,,
Eastern Oil Company;Eastern Oil Company 590 S. Paddock Pontiac, MI  48341 ,,,,,
Eastman Fire Protection;Eastman Fire Protection 1450 Souter Troy, MI  48083-2871 ,,,,,
EBAY,EBAY,,,,,,
ebm-papst Inc.;EbmPapst 100 Hyde Road Farmington, CT 06034 ,,,,,
Echo Electric - CC,,,,,,,
Efficient Logistics;Efficient Logistics 27480 Wick Rd. Romulus, MI 48174 ,,,,,
ElecDirect.com;Elecdirect.com LLC 9-6311 Inducon Corporate Drive Sanborn, NY  14132 ,,,,,
Elect-Air;Elect-Air 11897 Cabernet Dr. Suite C Fontana, CA 92337 ,,,,,
Electra-Tech Manufacturing Inc.;Electra-Tech Manufacturing Inc. 5130 Hennin Drive Oldcastle, (Windsor) Ontario N0R 1L0 Tel: 519-737-6911 ,,,,,
Electra Supply Inc.;Electra Supply Inc. 29 Cherry Blossom Rd. Cambridge, Ont N3H 4R7 ,,,,,
Electriduct Cable Management;Electriduct Cable Management 6250 NW 27th Way Fort Lauderdale, FL 33309 ,,,,,
Electro Matic Products (ACH);Electro-Matic Products, Inc. 23409 Industrial Park Ct Farmington Hills, MI  48335 ,,,,,
Empire Wire & Supplies (ACH);Empire Wire & Supply, LLC 2119 Austin Avenue Rochester Hills, MI  48309 ,,,,,
Enterprise Rent A Car;Enterprise Rent A Car 1080 N. Opdyke Rd. Auburn Hills, MI  48326 ,,,,,
Essentra (ACH) was Reid;Essentra Components 62919 Collection Center Drive Chicago,IL 60693-0629 ,,,,,
Etxe-Tar USA Corp.;Etxe-Tar USA 1270 Rankin Drive, Suite E Troy, MI  48083 ,,,,,
Euchner-USA Inc.;Euchner-USA Inc. 6723 Lyons St. East Syracuse, NY 13057 ,,,,,
EXAIR Corporation (ACH);EXAIR Corporation Location 00766 Cincinnati, OH  45264-0766 ,,,,,
Excell Transport LLC;Excell Transport LLC 1471 Hertford Ct. Oxford, MI  48371 ,,,,,
Exclusive GP Limited,Exclusive GP Limited S10 Kestrel Court Portishead Bristol BS20 7AN United Kingdom,,,,,,
Exilite 298 cc (SA$),Exilite 298 cc 16 Turner Street Rowallan Park P.E. 6025,,,,,,
Exotic Automation & Supply;Exotic Automation & Supply Department # 233601 P.O. Box 67000 Detroit, Mi 48267-2336 ,,,,,
Experienced Concepts Inc;Experienced Concepts, Inc. P.O. Box 556 Romeo, MI  48065 ,,,,,
Extended Stay America;Extended Stay America 260 Town Center Drive Dearborn, MI  48126 ,,,,,
Fanuc Robotics;Fanuc Robotics America Corporation 16272 Collection Center Drive Chicago, IL  60693 ,,,,,
Fanuc Robotics Mexico (Wire);FANUC Robotics Mexico S.A. de C.V. Circuito Aguascalientes Norte 136 Parque Industrial del Valle de Aguascalientes C.P. 20355, Aguascalientes, Ags. Mexico ,,,,,
Fastenal;Fastenal Company PO Box 978 Winona, MN  55987-0978 ,,,,,
Fastenal - Taylor;Fastenal P.O. Box 978 Winona, MN 55987-0978 ,,,,,
Fastenal - Windsor;Fastenal Canada LTD 860 Trillium Drive - Ste 117 Kitchener, ON  N2R 1K4 ,,,,,
Fedex (Bill Pay);FedEx PO Box 371461 Pittsburgh, PA  15250-7461 ,,,,,
FedEx Trade Networks;FedEx Trade Networks T10007C/U P.O. Box 10007 Postas Station A Toronto, ON M5W 2B1 ,,,,,
Festo Corporation;Festo Corporation 395 Moreland Road Hauppauge, NY 11788 ,,,,,
Fife-Pearce Electric Co.;Fife-Pearce Electric Co. 20201 Sherwood Detroit, MI  48234 ,,,,,
First Industrial (ACH);First Industrial, L.P. P.O. Box 932761 Cleveland, OH 44193 ,,,,,
Fischer Body Refinishing Inc;Fischer Body Refinishing Inc 1759 Maplelawn Drive Troy, MI  48084 ,,,,,
Fischer Fixing Systems;Fischer Fixings LLC 62 Orange Avenue Suffern, NY  10901 ,,,,,
Flotronics;Flotronics, Inc. Dan Tennant 10435 Ortonville Rd #A Clarkston, MI 48348 ,,,,,
Fluid Systems Engineering;Fluid Systems Engineering 18855 E. 14 Mile Clinton Twp., MI  48035 Tel:586-790-8880 ,,,,,
Foley & Mansfield;Foley & Mansfield 130 East Nine Mile Road Ferndale, MI  48220 ,,,,,
Foremost Industrial Technologies;Foremost Electric & Transmission, Inc. 6518 W. Plank Road Peoria, IL  61604 ,,,,,
Fraser Fab & Machine (ACH);Fraser Fab & Machine, Inc. 1696 Star Batt Drive Rochester Hills, MI  48309 ,,,,,
FRAZA FORKLIFTS;FRAZA FORKLIFTS 6570 19 Mile Rd, Sterling Heights, MI 48314 ,,,,,
Freightquote.com;Freightquote.com 1495 Paysphere Circle Chicago, IL  60674 ,,,,,
FUEL,FUEL,,,,,,
Future Tool & Machine;Future Tool & Machine 28900 Goddard Rd Romulus, MI 48174 ,,,,,
"Gable Manufacturing, Inc.";Gable Manufacturing, Inc. Mike Herd 667 Elmwood Troy, MI  48038 ,,,,,
Galco Industrial Electronics;Galco Industrial Electronics 26010 Pinehurst Madison Heights, MI 48071 ,,,,,
Gary's Airport Transportation;Gary's Airport Transportation c/o Michelle Kliczinski 7956 Alton Street Canton, MI 48187 ,,,,,
Gary A. Staup;Gary A. Staup 2393 Tandy Drive Flint, Mi 48532 ,,,,,
Gasdorf;Gasdorf Tool & Machine Co., Inc. 445 N. McDonel St. Lima, OH 45801 ,,,,,
GE Capital (Bill Pay);General Electric Capital Corporation PO Box 642111 Pittsburgh, PA 15264-2111 ,,,,,
Geisler CO.;Geisler CO. 30295 Schoolcraft Road. Livonia, MI 48150 ,,,,,
GlobalIndustrial.com;GlobalIndustrial.com Karen Spates 2505 Mill Center Parkway Suite 100 Buford, GA 30518 ,,,,,
GNEPaint;674 S Lapeer Rd. Lake Orion, MI 48362 ,,,,,
Google Voice - CC,,,,,,,
GORDON BRUSH;GORDON BRUSH 6247 Randolph Street, Commerce, CA 90040 ,,,,,
Grainger;W.W. Grainger, Inc. Dept 875323875 Palatine, IL  60038-0001 ,,,,,
Great Lakes Export;Great Lakes Export 623 Lycaste Detroit, MI  48214 ,,,,,
Great Lakes Fastenars;Great Lakes Fastenars 5075 Clay Ave. SW Ste. A Grand Rapids, MI 49548 ,,,,,
Grid4 Communications (Bill Pay);Grid4 Communications, Inc. PO Box 77000 Dept 77224 Detroit, MI  48277-0224 ,,,,,
Guadalupe Lara Chavez/Javier Robles;Ma. Guadalupe Lara Chavez Calle Rhin No 1426, Colonia Santa Julia Irapuato, Guanajuato 36668 MEXICO ,,,,,
Guardian;Guardian PO Box 824404 Philadelphia, PA  19182-4404 ,,,,,
Guardian Alarm;Guardian Alarm Company of Michigan PO Box 5003 Southfield, MI  48086-5003 ,,,,,
"Guelgonza, SA DE CV (Wire)";Guelgonza, S.A. DE C.V. R.F.C. GUE100714383 Emilio Portes Gil 468 Col. Buenos Aires C.P. 25076 Saltillo, Coahuila     MEXICO ,,,,,
H & CS LLC (ACH);H & CS Material Handling Systems E7383 Nietzke Road Clintonville, WI  54929 ,,,,,
H & P Technologies (ACH);H & P Technologies, Inc. 21251 Ryan Road Warren, MI 48091 ,,,,,
H E Lennon;H.E. Lennon 23920 Freeway Park Dr. Farmington Hills, MI 48335 ,,,,,
H H Barnum Company;H.H. Barnum Company 7915 Lochlin Drive Brighton, MI 48116 ,,,,,
Hagopian;Hagopian Cleaning Services 14000 W. Eight Mile Road Oak Park, MI  48237 ,,,,,
Harborfreight.com,Harborfreight.com,,,,,,
Harmonic Drive LLC (ACH);Harmonic Drive LLC 247 Lynnfield Street Peabody, MA  01960 ,,,,,
Hartford (Bill Pay);The Hartford PO Box 660916 Dallas, TX  75266-0916 ,,,,,
Heartland (fka ICI LLC) (ACH);Heartland Automation LLC 2420 Wills Street Marysville, MI  48040 ,,,,,
High Tech Signs (Wire);High Tech Signs BLVD Jesus Valdes Sanchez 1230 Col. Topochico C.P. Saltillo, Coahuila 25284 Mexico ,,,,,
Hilo Guy (Need TIN!);Hilo Guy 38194 Groesbeck Hwy Clinton Twp, MI  48036 ,,,,,
Hilti North America;Hilti North America Attn: Nick Martin 5400 S. 122nd E. Ave Tulsa, Ok 74146 ,,,,,
Holiday Inn - Woodhaven;Holiday Inn Express & Suites Woodhaven 21500 West Road Woodhaven, MI  48183 ,,,,,
Home Depot,Home Depot,,,,,,
Hotham Building Materials (Canada);Hotham Building Materials (Canada) 680 N Service Rd, Windsor, ON N8X 3J3, CA N8X 3J3 CA ,,,,,
HRPro;HRPro 1423 E Eleven Mile Road Royal Oak, MI  48067 ,,,,,
I.I. Enterprises (ACH);I.I. Enterprises Industrial Innovations PO Box 526 Wyandotte, MI  48192 ,,,,,
IBI Group.;IBI Group. 30 International Boulevard Toronto, ON, M9W 5P3, Canada ,,,,,
ID Technology;ID Technology, LLC 2051 Franklin Drive Fort Worth, TX 76106 ,,,,,
IFM Efector;IFM Efector, Inc PO Box 8538-307 Philadelphia, PA 19171-0307 ,,,,,
IFM Mexico (ACH),IFM Efector S. de R.L. de C.V. Pedro Ramirez Vazquez #200-4 Planta Baja Col Valle Oriente San Pedro Garza Garcia C.P. 66269,,,,,,
"Igus, Inc (ACH)";Igus, Inc. PO Box 14349 East Providence, RI  02914 ,,,,,
Illinois Pulley & Gear;Illinois Pulley & Gear 611 Lunt Ave, Unit C Schaumburg, IL  60193 ,,,,,
Integrated Machinery Systems;Integrated Machinery Systems, Inc. 101 North Prospect Ave Itasca, IL 60143 ,,,,,
Intelligent Machine Solutions (wire);Intelligent Machine Solutions, Inc. 1269 E Mt Garfield, Suite D Norton Shores, MI  49441 ,,,,,
Interactive Training Systems;Interactive Training Systems 118 S. Leroy St. Fenton, MI  48430 ,,,,,
International Express Services LLC;International Express 755 W. Big Beaver Rd. Suite 112 Troy, Mi 48084 ,,,,,
"International Robot Support, Inc";International Robot Support, Inc 44990 Heydenreich, Suite D Clinton Twp, MI  48038 ,,,,,
International Wire & Cable;International Wire & Cable, Inc. 44035 Phoenx Dr. Sterling Heights, MI  48314 ,,,,,
Intuit - QB,Intuit - QB,,,,,,
IRS,IRS,,,,,,
IVS Imaging;IVS Imaging 101 Wrangler Suite 201 Coppell, TX 75019 ,,,,,
J & J Locksmith;J & J Locksmith 55 E. Long Lake Rd. #414 Troy, MI  48085 ,,,,,
Jack Rutledge;Jack Rutledge 5230 N Lapeer Road Columbiaville, MI  48421 ,,,,,
James Kennedy;James Kennedy 222 Briarwood Dr Lapeer, MI  48446 ,,,,,
James Kennedy - CC,,,,,,,
Janna Dustin;Janna Dustin 2541 N. Lapeer Rd. Lapeer, MI 48446 ,,,,,
Jet's Pizza,,,,,,,
JGS Machining Co;JGS Machining 4455 Davis Road St. Clair, MI  48079 Tel:810-329-4210 ,,,,,
Jimmy John's,Jimmy John's,,,,,,
John Sherry;John Sherry 1335 W Fairview Lane Rochester HIlls, MI  48306 ,,,,,
"K & S Tree Service, Inc.";K & S Tree Service, Inc. 560 Walker Road Leonard, MI  48367 ,,,,,
Ka-Wood Gear & Machine Co;Ka-Wood Gear & Machine Company 32500 Industrial Drive Madison Heights, MI  48071 ,,,,,
Kargilis Solutions;Kargilis Business Solutions, LLC 212 Shagbark Drive Rochester Hills, MI  48309 ,,,,,
Kentek;Kentek 1 Elm Street Pittsfield, NH  03263 ,,,,,
Kevin Kuhn;Kevin Kuhn 3565 Wakefield Berkley, MI  48072 ,,,,,
Kevin Kuhn CC,Kevin Kuhn CC,,,,,,
Kevin Linehan;Kevin Linehan 1641 Evergreen Trenton, MI  48183 ,,,,,
Kinecor;Kinecor 2187 Huron Church Rd. Bldg 300, Until 310 Windsor, ON  N9C 2L8 Tel:519-948-7487 ,,,,,
KING PUMPS INC;KING PUMPS INC. 253 NW 54th Street, Miami, Florida 33127- ,,,,,
"KLASSEN Custom Fab, Inc.";KLASSEN Custom Fab, Inc. 5140 Ure Street OldCastle, ON   N0R 1L0 Canada ,,,,,
Knight Global;Knight Global 2705 Commerce Parkway Auburn Hills, MI  48326 ,,,,,
Korotkin Insurance Group;Korotkin Insurance Group 26877 Northwestern Hwy #400 Southfield, MI  48033-8418 ,,,,,
Lamination Creation LLC;Lamination Creation LLC Gerald B Babjack 36761 Harwick Court Clinton Township, MI  48035 ,,,,,
LaSalle Electric Supply Co;LaSalle Electric Supply Co. 34073 Schoolcraft Livonia, MI  48151 ,,,,,
Lauderdale Corp (ACH);Lauderdale Development Corporation 5750 New King Drive, Suite 200 Troy, MI  48098 ,,,,,
Lenz;Lenz PO Box 1044 Dayton, OH 45401 ,,,,,
Lima Memorial Health System;Lima Memorial Health System PO Box 713240 Columbus, OH 43271-3240 ,,,,,
Load One (ACH);Load One Transportation & Logistics 13221 Inkster Road Taylor, MI 48180 ,,,,,
LOGOMAT (ACH);LOGOMAT Automation Systems, Inc 2595 Arbor Tech Drive Hebron, KY  41048 ,,,,,
Lowes,Lowes,,,,,,
Lowry Solutions;Lowry Solutions 9420 Maltby Rd. Brighton, MI 48116 ,,,,,
Macomb Community College;Macomb Community College Cashier CC-G122 44575 Garfield Rd. Clinton Twp., Mi 48038 ,,,,,
Madison Electric (ACH);Madison Electric Company 31855 Van Dyke Ave Warren, MI  48093-1047 ,,,,,
MAG Automotive;MAG IAS LLC 75 Remittance Drive Suite 3277 Chicago, IL 60675-3277 ,,,,,
MAHEJA;MAHEJA Prol. Aldama No. 1004, CO 38160 MEXICO ,,,,,
Majors McGuire;Majors McGuire 3235 Electricity Dr, Unit B Windsor, ON N8W 5J1 Canada ,,,,,
Maquinados Industriales Limat;Maquinados Industriales Limat Rio Hondo, No. 225 Fracc. Fundadores Saltillo, Coahuila 25019 ,,,,,
Marathon Industrial,Marathon Industrial,,,,,,
"Marc Dutton Irrigation, Inc.";Marc Dutton Irrigation, Inc. 4720 Hatchery Road Waterford, MI 48329 ,,,,,
Marshall E. Campbell;Marshall E. Campbell 2975 Lapeer Rd. Port Huron, MI 48060 ,,,,,
"Marshall Sales, Inc.";Marshall Sales, Inc. 14359 Meyers Road Detroit, MI  48227 ,,,,,
Masterfile.com,Masterfile.com,,,,,,
Matuk Automation Services;Matuk Automation Services Margain 575 Parque Corp. Sta. Engrade, Sa ,,,,,
Matzka Inc.;Matzka Inc. 25255 Mound Rd. Warren, MI  48091 ,,,,,
McCarver Mechanical;McCarver Mechanical Heating & Cooling 32486 Dequindre Warren, MI 48092 ,,,,,
"McKernan, Inc.";McKernan, Inc. 30596 Groesbeck Highway Roseville, MI 48066 ,,,,,
McMasters Carr;McMaster-Carr PO Box 7690 Chicago, IL  60680-7690 ,,,,,
McNaughton - McKay (ACH);McNaughton-McKay Electric Co Dept 14801 PO Box 67000 Detroit, MI 48267-0148 ,,,,,
Meijer Inc,Meijer Inc,,,,,,
Metalmite Corporation;Metalmite Corporation 194 S. Elizabeth St Rochester, MI  48307 ,,,,,
Meteor (fix address);Quantum Digital Ventures, LLC Meteor 1099 Chicago Road Troy, MI  48083 ,,,,,
MetLife;MetLife Dental TM 05 995185 0001, Vision 97377737 PO Box 803323 Kansas City, MO  64180-3323 ,,,,,
Metzler Locricchio Serra Co CPA;Metzler Locricchio Serra & Company, P.C. 1800 W Big Beaver Rd, Suite 100 Troy, MI  48084-3531 ,,,,,
